Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685538531,340320700,0,1,11,568046500
2,1685538531,400464400,1,2,14,640084400
3,1685538531,377347400,2,3,16,653823500
7,1685538531,247673800,3,4,21,718819400
11,1685538531,151052600,7,5,22,718975600
14,1685538531,253833800,11,6,28,893722000
4,1685538531,594149800,0,7,28,897226400
16,1685538531,392814100,14,8,41,1046531400
21,1685538531,339851700,16,9,43,1058520300
22,1685538531,389010200,21,10,47,1107898700
28,1685538532,385662600,22,11,54,1279270200
41,1685538532,276536100,28,12,55,1322938700
10,1685538531,880481600,4,13,59,1433105100
15,1685538531,790476500,10,14,59,1433192000
19,1685538531,749309600,15,15,59,1433278200
47,1685538532,772043300,41,16,84,1879860300
54,1685538532,601153300,47,17,85,1880202800
55,1685538532,601980000,54,18,86,1881270000
31,1685538532,965898500,19,19,87,1906913100
5,1685538531,1633459100,0,20,100,2003763100
83,1685538533,125162400,55,21,101,2004737500
18,1685538531,1845918900,4,22,133,2506752500
84,1685538533,627008200,83,23,134,2506787200
85,1685538533,626873600,84,24,135,2507004000
86,1685538533,626852300,85,25,136,2507157100
101,1685538533,502969400,86,26,137,2507380900
40,1685538532,1467427200,31,27,137,2507690400
134,1685538533,1127900,101,28,138,2507903000
30,1685538532,1579020900,22,29,138,2508210200
135,1685538533,2035300,134,30,139,2508986100
48,1685538532,1400838800,40,31,139,2509320300
136,1685538533,2602700,135,32,140,2509753400
36,1685538532,1505138700,18,33,140,2509906100
52,1685538532,1275709600,48,34,140,2509920000
70,1685538532,851097900,52,35,140,2510439700
137,1685538533,3524600,136,36,141,2510799300
6,1685538531,2079677000,0,37,141,2511089700
17,1685538531,1850553300,6,38,141,2511242900
138,1685538533,3591600,137,39,142,2511325800
26,1685538531,1742582900,7,40,146,2553571000
46,1685538532,1460201800,28,41,146,2553650600
9,1685538531,2477753700,4,42,172,3025834600
27,1685538532,2163770100,9,43,172,3025946100
12,1685538531,2436435300,5,44,172,3026027500
