UndefinedColor (Tip Pool Size),Blue (Tip Pool Size),Red (Tip Pool Size),Green (Tip Pool Size),UndefinedColor (Processed),Blue (Processed),Red (Processed),Green (Processed),# of Issued Messages,ns since start
0,0,0,0,0,0,0,0,0,324077500
0,0,0,0,1,0,0,0,1,550209700
2,0,0,0,7,0,0,0,12,756356600
2,0,0,0,10,0,0,0,15,905868300
4,0,0,0,14,0,0,0,25,1223161700
14,0,0,0,39,0,0,0,63,1928213600
14,0,0,0,40,0,0,0,66,2145411300
15,0,0,0,41,0,0,0,66,2328434900
20,0,0,0,60,0,0,0,93,2404690200
20,0,0,0,61,0,0,0,98,2473003400
20,0,0,0,61,0,0,0,98,2526106100
22,0,0,0,66,0,0,0,109,2750819700
25,0,0,0,72,0,0,0,114,2834877300
27,0,0,0,89,0,0,0,120,2956615800
28,0,0,0,91,0,0,0,124,3041682200
28,0,0,0,92,0,0,0,124,3113245800
29,0,0,0,99,0,0,0,132,3247002800
29,0,0,0,99,0,0,0,132,3352489400
29,0,0,0,99,0,0,0,132,3420610000
33,0,0,0,113,0,0,0,159,3567427300
33,0,0,0,114,0,0,0,159,3688292100
33,0,0,0,114,0,0,0,163,4004815000
33,0,0,0,114,0,0,0,163,4541417000
33,0,0,0,114,0,0,0,163,4742977800
33,0,0,0,114,0,0,0,163,4870487300
33,0,0,0,114,0,0,0,163,5381289200
43,0,0,0,153,0,0,0,312,5511820500
49,0,0,0,174,0,0,0,486,8511462000
59,0,0,0,211,0,0,0,486,8603432300
92,0,0,0,346,0,0,0,532,8764153600
93,0,0,0,347,0,0,0,532,8893557500
93,0,0,0,347,0,0,0,534,9280678100
112,0,0,0,453,0,0,0,711,11453731100
112,0,0,0,453,0,0,0,711,11469972700
112,0,0,0,453,0,0,0,711,11608111500
112,0,0,0,453,0,0,0,711,11644253000
112,0,0,0,453,0,0,0,711,11752599900
112,0,0,0,453,0,0,0,711,12069391500
112,0,0,0,453,0,0,0,711,12119944000
112,0,0,0,457,0,0,0,812,12515469900
112,0,0,0,457,0,0,0,812,12777218500
116,0,0,0,487,0,0,0,854,13278719000
116,0,0,0,487,0,0,0,854,13545485900
129,0,0,0,536,0,0,0,917,14300842500
143,0,0,0,591,0,0,0,945,16385020100
162,0,0,0,638,0,0,0,1071,17332847100
162,0,0,0,638,0,0,0,1071,17416970400
162,0,0,0,638,0,0,0,1071,17435402000
162,0,0,0,638,0,0,0,1071,17841225500
172,0,0,0,679,0,0,0,1327,20597303200
183,0,0,0,734,0,0,0,1429,21576716300
189,0,0,0,783,0,0,0,1498,21769086800
189,0,0,0,784,0,0,0,1498,23084043000
189,0,0,0,784,0,0,0,1498,23118726700
189,0,0,0,784,0,0,0,1498,23257001100
189,0,0,0,784,0,0,0,1498,24081148600
189,0,0,0,784,0,0,0,1498,24682301900
189,0,0,0,784,0,0,0,1498,25656769400
189,0,0,0,784,0,0,0,1498,25976709200
189,0,0,0,785,0,0,0,1711,26417351200
190,0,0,0,787,0,0,0,1736,29001799100
220,0,0,0,981,0,0,0,1997,31702868000
221,0,0,0,986,0,0,0,2030,32324688100
223,0,0,0,1006,0,0,0,2053,33017914700
228,0,0,0,1048,0,0,0,2146,34541726100
228,0,0,0,1049,0,0,0,2152,34699678200
238,0,0,0,1101,0,0,0,2189,36266605100
249,0,0,0,1218,0,0,0,2401,43033263800
252,0,0,0,1259,0,0,0,2669,44289141400
252,0,0,0,1259,0,0,0,2669,44291947100
252,0,0,0,1260,0,0,0,2669,44696424000
252,0,0,0,1260,0,0,0,2669,45134132200
253,0,0,0,1294,0,0,0,2819,46366305200
253,0,0,0,1295,0,0,0,2819,46463032100
253,0,0,0,1295,0,0,0,2819,46807766900
253,0,0,0,1295,0,0,0,2819,46998917200
253,0,0,0,1295,0,0,0,2822,47091634700
253,0,0,0,1295,0,0,0,2822,47228600500
253,0,0,0,1295,0,0,0,2822,47622026600
253,0,0,0,1296,0,0,0,2822,47700876900
255,0,0,0,1338,0,0,0,2940,49124655100
255,0,0,0,1338,0,0,0,2940,49292448300
255,0,0,0,1338,0,0,0,2940,49374278900
255,0,0,0,1338,0,0,0,2940,49427948600
255,0,0,0,1338,0,0,0,2940,49580931700
255,0,0,0,1340,0,0,0,3136,52202336600
255,0,0,0,1340,0,0,0,3136,52334711200
255,0,0,0,1342,0,0,0,3335,54162802600
258,0,0,0,1375,0,0,0,3575,57440469000
259,0,0,0,1380,0,0,0,3602,58669016500
259,0,0,0,1380,0,0,0,3602,58709103600
261,0,0,0,1399,0,0,0,3756,59720196700
261,0,0,0,1400,0,0,0,3756,61536715200
