Number of Requested Messages,ns since start
0,152133400
0,234651400
0,332027400
0,430577400
0,529608200
0,633515600
0,738952200
0,854851200
0,938522400
0,1093999300
0,1255080600
0,1303628800
0,1329911200
0,1479851400
0,1895568300
0,2770558500
0,2985751800
0,2989396400
0,3342384100
0,4316159500
0,4431054800
0,4563626200
0,4661133100
0,4663414700
0,5005207600
0,5409943200
0,6693626600
0,11191384200
0,16196450300
0,16210996300
0,16308421800
0,16379227600
0,16558564100
0,16565145300
0,17009287700
0,17559727100
0,17642122500
0,18542936400
0,18659896200
0,18961181000
0,19085234400
0,19298978900
0,20132231400
0,21569281400
0,21620400800
0,21857992600
0,21901950800
0,23981598800
0,24895243400
0,25026641700
0,25232707200
0,25304170000
0,25744585300
0,25760812900
0,25906258800
0,25984875900
0,26048144500
0,26173922700
0,26586510100
0,27357589600
0,27416877700
0,28153012300
0,28846293600
0,29221562500
0,29479006700
0,29526477400
0,29708298600
0,29762226200
0,29779221400
0,30790814200
0,31032216400
0,31740877700
0,32039636100
0,32106581900
0,33136140000
0,33321548600
0,33819672400
0,34704054000
0,34816129700
0,34881537800
0,35263651100
0,35347448100
0,38068881100
0,38439845200
0,38537842200
0,38700165800
0,38915144700
0,39775095500
0,40118412900
0,40122519100
0,40378225900
0,41871963800
0,41975425000
0,42032103200
0,42035698100
0,42248469700
0,42251954700
0,42821186000
0,42973305200
0,42985348400
0,43109821800
0,44769095100
0,44778922400
0,45029456300
0,46767348900
0,46898186900
0,46902407700
0,47180263900
0,47194051400
0,47614483600
0,48898856000
0,49221626000
0,49746174800
0,49874090600
0,50071625600
0,52002722700
0,52421113700
0,52439561200
0,52442357800
0,52816748300
0,52820304200
0,53131865000
0,53133351700
0,54644996300
0,55375435200
0,55506751800
0,56545085100
0,56675715100
0,58625136400
0,60991521300
