Message ID,Issuance Time (unix),Confirmation Time (ns),Weight,# of Confirmed Messages,# of Issued Messages,ns since start
1,1685360094,241292100,14,1,9,428145600
2,1685360094,340405700,14,2,17,554525700
1,1685360094,367681400,20,3,17,554532700
5,1685360094,375717500,14,4,24,728765100
2,1685360094,514651800,20,5,24,728770500
1,1685360094,541946500,27,6,24,728796900
2,1685360094,616348200,27,7,30,830468300
1,1685360094,643622400,35,8,30,830472100
7,1685360094,444723300,14,9,31,830586600
5,1685360094,477553400,20,10,31,830589300
2,1685360094,616473000,30,11,31,830591400
1,1685360094,643743800,39,12,31,830593500
9,1685360094,402669700,14,13,32,830680700
7,1685360094,444820300,20,14,32,830682900
5,1685360094,477649200,27,15,32,830685100
2,1685360094,616568600,38,16,32,830686900
1,1685360094,643840200,48,17,32,830689800
17,1685360094,276368400,14,18,33,830768100
9,1685360094,402759600,20,19,33,830770300
7,1685360094,444909600,27,20,33,830772200
5,1685360094,477738400,35,21,33,830774200
2,1685360094,616658500,47,22,33,830776700
1,1685360094,643928700,58,23,33,830778300
24,1685360094,298953800,14,24,44,986500800
17,1685360094,432105500,20,25,44,986505000
9,1685360094,558496400,27,26,44,986506900
7,1685360094,600645900,35,27,44,986511400
5,1685360094,633479900,44,28,44,986515500
2,1685360094,772398600,57,29,44,986516800
1,1685360094,799668600,69,30,44,986518100
31,1685360094,156139100,14,31,45,986616600
24,1685360094,299076800,20,32,45,986619000
17,1685360094,432221000,27,33,45,986620400
9,1685360094,558611400,35,34,45,986622200
7,1685360094,600762500,44,35,45,986642300
5,1685360094,633609000,54,36,45,986644600
2,1685360094,772528300,68,37,45,986646500
1,1685360094,799798400,81,38,45,986647800
2,1685360094,780539600,80,39,46,994660800
1,1685360094,807814600,94,40,46,994664200
2,1685360094,871217700,83,41,50,1085338200
1,1685360094,898492300,98,42,50,1085342100
2,1685360094,871306300,86,43,50,1085425000
1,1685360094,898577500,102,44,50,1085427300
17,1685360094,581483200,35,45,57,1135887000
9,1685360094,707880800,44,46,57,1135892400
7,1685360094,750031700,54,47,57,1135894300
5,1685360094,782860300,65,48,57,1135898900
2,1685360094,921782400,90,49,57,1135900800
1,1685360094,949053500,107,50,57,1135903300
9,1685360094,708150700,48,51,57,1136161700
7,1685360094,750301400,59,52,57,1136164000
5,1685360094,783129800,71,53,57,1136165400
2,1685360094,922048500,97,54,57,1136166700
1,1685360094,949320500,115,55,57,1136170300
3,1685360094,897317100,14,56,58,1146870800
9,1685360094,742914000,51,57,59,1170928200
7,1685360094,785071100,63,58,59,1170934100
5,1685360094,817900200,76,59,59,1170935800
2,1685360094,956819100,103,60,59,1170937400
1,1685360094,984092400,122,61,59,1170942300
3,1685360094,1075923000,17,62,71,1325475800
2,1685360094,1111433700,109,63,71,1325552500
1,1685360094,1138704900,129,64,71,1325554800
2,1685360094,1111528200,114,65,71,1325646800
1,1685360094,1138799600,135,66,71,1325649300
32,1685360094,495141200,14,67,72,1325742500
31,1685360094,495267800,20,68,72,1325744900
24,1685360094,638205400,27,69,72,1325747700
17,1685360094,771350700,38,70,72,1325750200
9,1685360094,897744300,54,71,72,1325756400
7,1685360094,939895600,67,72,72,1325758300
5,1685360094,972724900,81,73,72,1325760800
2,1685360094,1111644500,118,74,72,1325763200
1,1685360094,1138915800,140,75,72,1325765300
33,1685360094,500290800,14,76,74,1330991100
32,1685360094,500396700,20,77,74,1330997100
31,1685360094,500521700,27,78,74,1330999200
24,1685360094,643460000,35,79,74,1331002500
17,1685360094,776610500,47,80,74,1331010300
9,1685360094,903002800,64,81,74,1331013700
7,1685360094,945152800,78,82,74,1331015300
5,1685360094,977983200,93,83,74,1331019100
2,1685360094,1116903800,131,84,74,1331022400
1,1685360094,1144180700,154,85,74,1331030300
44,1685360095,344727100,14,86,75,1331128800
33,1685360094,500437900,20,87,75,1331134300
32,1685360094,500538900,27,88,75,1331139500
31,1685360094,500666000,35,89,75,1331144600
24,1685360094,643608400,44,90,75,1331150900
17,1685360094,776753000,57,91,75,1331152500
9,1685360094,903143600,75,92,75,1331154200
7,1685360094,945293100,90,93,75,1331155600
5,1685360094,996134800,106,94,75,1349174400
2,1685360094,1135065300,145,95,75,1349184100
1,1685360094,1162336900,169,96,75,1349187300
9,1685360094,921779400,87,97,75,1349791400
7,1685360094,963931600,103,98,75,1349794600
5,1685360094,996760700,120,99,75,1349796600
2,1685360094,1135937800,160,100,75,1350056900
1,1685360094,1163208900,185,101,75,1350058500
10,1685360094,922298100,14,102,75,1350460300
3,1685360094,1100912300,23,103,75,1350463700
12,1685360094,906802100,13,104,75,1350696400
10,1685360094,922538900,19,105,75,1350699400
3,1685360094,1101150700,29,106,75,1350702000
17,1685360094,796313100,68,107,75,1350712900
9,1685360094,922705000,91,108,75,1350715700
7,1685360094,964855600,108,109,75,1350718300
5,1685360094,997684600,126,110,75,1350720400
2,1685360094,1136603700,167,111,75,1350722000
1,1685360094,1163873900,193,112,75,1350723500
21,1685360094,764477900,12,113,78,1371346000
12,1685360094,927458400,18,114,78,1371353400
10,1685360094,943198300,25,115,78,1371359000
3,1685360094,1121813000,36,116,78,1371364700
21,1685360094,764604900,17,117,78,1371472900
12,1685360094,927582000,24,118,78,1371475000
10,1685360094,943316200,32,119,78,1371476700
3,1685360094,1121927000,44,120,78,1371478500
45,1685360095,406605500,14,121,80,1393130500
44,1685360095,406733000,20,122,80,1393136400
33,1685360094,562442500,27,123,80,1393139400
32,1685360094,562541200,35,124,80,1393141500
31,1685360094,562667400,44,125,80,1393144600
24,1685360094,705603900,54,126,80,1393146200
17,1685360094,838748500,71,127,80,1393148000
9,1685360094,965139100,95,128,80,1393149700
7,1685360094,1007289100,113,129,80,1393151900
5,1685360094,1040120600,132,130,80,1393156500
2,1685360094,1179039900,174,131,80,1393158300
1,1685360094,1206310400,201,132,80,1393160100
72,1685360095,117500000,14,133,82,1443159400
45,1685360095,456640800,20,134,82,1443163600
44,1685360095,456764000,27,135,82,1443165700
33,1685360094,612471000,35,136,82,1443167500
32,1685360094,612569900,44,137,82,1443175500
31,1685360094,612702400,54,138,82,1443179500
24,1685360094,755640800,65,139,82,1443183400
17,1685360094,888785500,83,140,82,1443184900
9,1685360094,1015175800,108,141,82,1443188400
7,1685360094,1057334700,127,142,82,1443197600
5,1685360094,1090167400,147,143,82,1443203500
2,1685360094,1229087200,190,144,82,1443207200
1,1685360094,1256359800,218,145,82,1443211000
74,1685360095,116904200,14,146,83,1443415300
72,1685360095,117762000,20,147,83,1443419300
45,1685360095,456901000,27,148,83,1443423500
44,1685360095,457025400,35,149,83,1443428500
33,1685360094,612736600,44,150,83,1443433300
32,1685360094,612834600,54,151,83,1443434800
31,1685360094,612959100,65,152,83,1443436100
24,1685360094,755896700,77,153,83,1443439300
17,1685360094,889043200,96,154,83,1443444300
9,1685360094,1015440800,122,155,83,1443453400
7,1685360094,1057592500,142,156,83,1443456400
5,1685360094,1090424700,163,157,83,1443461000
2,1685360094,1229346100,207,158,83,1443464800
1,1685360094,1256616900,236,159,83,1443468700
4,1685360094,1218406900,12,160,87,1537175800
4,1685360094,1218589200,17,161,87,1537357800
12,1685360094,1093562600,31,162,87,1537455900
10,1685360094,1109298200,40,163,87,1537458900
3,1685360094,1287910100,53,164,87,1537462000
8,1685360094,1150575800,14,165,87,1537578400
4,1685360094,1218814300,23,166,87,1537581500
6,1685360094,1180405000,14,167,87,1537693100
75,1685360095,206746800,14,168,88,1537792000
74,1685360095,211287500,20,169,88,1537794700
72,1685360095,212139800,27,170,88,1537796800
45,1685360095,551276400,35,171,88,1537799000
44,1685360095,551401200,44,172,88,1537802700
33,1685360094,707108500,54,173,88,1537804900
32,1685360094,707207100,65,174,88,1537807600
31,1685360094,707332500,77,175,88,1537810100
24,1685360094,850270700,90,176,88,1537813100
17,1685360094,983419200,110,177,88,1537818800
9,1685360094,1109810000,137,178,88,1537821200
7,1685360094,1151960600,158,179,88,1537823800
5,1685360094,1184790600,180,180,88,1537826500
2,1685360094,1323710600,225,181,88,1537829200
1,1685360094,1350981400,255,182,88,1537831000
9,1685360094,1109834000,153,183,88,1537845100
7,1685360094,1151984200,175,184,88,1537846700
5,1685360094,1187541900,198,185,88,1540579500
2,1685360094,1326463500,244,186,88,1540582000
1,1685360094,1353734300,275,187,88,1540584200
80,1685360095,184204400,14,188,93,1577327700
75,1685360095,246291300,20,189,93,1577336200
74,1685360095,250831600,27,190,93,1577338800
72,1685360095,251685500,35,191,93,1577343500
45,1685360095,590826600,44,192,93,1577349100
44,1685360095,590949800,54,193,93,1577351500
33,1685360094,746658600,65,194,93,1577355000
32,1685360094,746756600,77,195,93,1577356900
31,1685360094,746881400,90,196,93,1577358600
24,1685360094,889822300,104,197,93,1577365500
17,1685360094,1022968300,125,198,93,1577368500
9,1685360094,1149359800,157,199,93,1577371600
7,1685360094,1191511000,180,200,93,1577373600
5,1685360094,1224340700,204,201,93,1577376400
2,1685360094,1363259700,251,202,93,1577379300
1,1685360094,1390532500,283,203,93,1577382100
17,1685360094,1023235200,141,204,93,1577888000
9,1685360094,1149898500,174,205,93,1577913400
7,1685360094,1192054000,198,206,93,1577917100
5,1685360094,1224884900,223,207,93,1577920700
2,1685360094,1363806900,271,208,93,1577925600
1,1685360094,1391079900,304,209,93,1577929800
21,1685360094,971224800,23,210,93,1578091100
12,1685360094,1134200500,34,211,93,1578093400
10,1685360094,1149934600,44,212,93,1578094900
3,1685360094,1328545200,58,213,93,1578096400
19,1685360094,992467900,12,214,93,1578195100
8,1685360094,1191195200,18,215,93,1578196800
4,1685360094,1259431400,28,216,93,1578198300
19,1685360094,992549600,17,217,93,1578276600
8,1685360094,1191277600,24,218,93,1578279000
4,1685360094,1259513400,35,219,93,1578280100
21,1685360094,971486200,26,220,93,1578352200
12,1685360094,1134460900,38,221,93,1578353700
10,1685360094,1150194800,49,222,93,1578355100
3,1685360094,1328805200,64,223,93,1578356500
82,1685360095,140363500,14,224,94,1583512000
80,1685360095,190402500,20,225,94,1583518400
75,1685360095,252477900,27,226,94,1583522600
74,1685360095,257019700,35,227,94,1583526900
72,1685360095,257892200,44,228,94,1583549300
45,1685360095,597032100,54,229,94,1583555000
44,1685360095,597158700,65,230,94,1583560500
33,1685360094,752869400,77,231,94,1583566400
32,1685360094,752971300,90,232,94,1583572100
31,1685360094,753104800,104,233,94,1583582300
24,1685360094,896043200,119,234,94,1583585900
17,1685360094,1029188300,144,235,94,1583590000
9,1685360094,1155581100,178,236,94,1583594200
7,1685360094,1197735500,203,237,94,1583598400
5,1685360094,1230564700,229,238,94,1583602000
2,1685360094,1369486000,278,239,94,1583604300
1,1685360094,1396758200,312,240,94,1583608100
3,1685360094,1344867500,70,241,96,1594421200
2,1685360094,2055157100,299,242,144,2269280900
1,1685360094,2082442400,334,243,144,2269294200
29,1685360094,1439910200,14,244,144,2269401700
21,1685360094,1662539800,29,245,144,2269408000
12,1685360094,1825521000,42,246,144,2269415600
10,1685360094,1841257300,54,247,144,2269419300
3,1685360094,2019874600,74,248,144,2269427900
30,1685360094,1439593400,14,249,144,2269516400
29,1685360094,1440030700,20,250,144,2269522100
21,1685360094,1662659600,36,251,144,2269527300
12,1685360094,1825680800,50,252,144,2269574100
10,1685360094,1841416800,63,253,144,2269577400
3,1685360094,2020028000,84,254,144,2269579500
36,1685360094,1405693900,14,255,144,2269712300
30,1685360094,1439793500,20,256,144,2269714400
29,1685360094,1440226700,27,257,144,2269716300
21,1685360094,1662852100,44,258,144,2269718200
12,1685360094,1825827700,59,259,144,2269720600
10,1685360094,1841561900,73,260,144,2269722400
3,1685360094,2020172800,95,261,144,2269724200
17,1685360094,1715423100,161,262,144,2269824700
9,1685360094,1841816300,196,263,144,2269827200
7,1685360094,1883966500,222,264,144,2269829200
5,1685360094,1916795300,249,265,144,2269831000
2,1685360094,2055714500,303,266,144,2269832900
1,1685360094,2082984800,339,267,144,2269834500
2,1685360094,2055820100,311,268,144,2269938700
1,1685360094,2083090800,348,269,144,2269941500
38,1685360094,1397977000,14,270,144,2269960100
19,1685360094,1684238500,23,271,144,2269965800
8,1685360094,1882969700,31,272,144,2269971600
4,1685360094,1951210000,43,273,144,2269977200
9,1685360094,2014637600,201,274,155,2442652600
7,1685360094,2056799400,228,275,155,2442665800
5,1685360094,2089633900,256,276,155,2442671700
2,1685360094,2228557500,317,277,155,2442677700
1,1685360094,2255831800,355,278,155,2442683500
15,1685360094,1911699500,13,279,155,2442826000
6,1685360094,2085541000,19,280,155,2442828300
18,1685360094,1862006900,12,281,155,2442953500
15,1685360094,1911830500,18,282,155,2442956200
6,1685360094,2085671600,25,283,155,2442958900
