Witness Weight,Time (ns)
0,2876221600
2,2876578400
5,2896335200
9,2896702600
14,2896767100
20,3040828700
27,3041126100
35,3088516300
44,3088739800
54,7049800800
65,7053852700
77,7054166900
90,7295981100
104,7296105100
119,7296222100
135,7296325000
152,7296433500
170,7296616500
189,7812919200
209,8051464600
230,8051800100
252,8052032800
275,8052252300
299,8052479800
324,8052764200
350,8053015900
377,8053267900
405,8053539100
434,8053810200
464,8054039800
495,8054213900
527,11110800400
560,11111005100
594,15227581100
629,15227861700
665,15228106200
702,15228334600
740,15228705900
779,15228925700
819,15967078300
860,15967313400
902,15967549300
945,15967913200
989,15968481000
1034,15968639400
1080,15968998800
1127,15969264000
1175,17354136900
1224,19811791800
1274,19812077000
1325,21223943900
1377,26278317200
1430,26278566700
1484,26278772000
1539,26278960100
1595,26279126000
1652,26279314600
1710,26279486700
1769,26279580500
1829,26290122400
1890,26293168000
1952,32481658900
2015,32996140100
2079,32997688800
2144,32998125700
2210,33818806600
2277,34108291900
2345,37190202300
2414,37766462300
2484,38131230100
2555,38131746400
2627,39166562800
2700,46625777500
2774,46626339100
2849,46626616800
2925,47543753800
3002,47556699000
3080,47557749500
3159,55381174900
3239,55822237800
3320,55826927700
